restaurant_id	borough_id	building	street	zipcode	cuisine_id
ff67e876f424d8e086982d7900a12306	2	1413	BEDFORD AVE	11216	8
e1a1a7fd38045704060113923bfc98d5	4	3029	COLLEGE POINT BLVD	11354	3
c6e31cf3773dac3fe0cce440882702a0	4	25305	NORTHERN BOULEVARD	11362	7
266049a97b10c4caf8ee1e930e447f8b	2	292	GRAHAM AVENUE	11211	3
d406f44dc0f6ce8cac72110bcdf9bc68	5	63	LAFAYETTE AVENUE	10301	53
dbc045312e922c393352dd9c8ec4c098	4	611C/621C	TERMINAL 5- JFK AIRPORT	11430	3
597748227d67dcb11c94a524ed99e975	3	620	EAST    6 STREET	10009	3
5da1a92c0c7a3e82d53b1d5ad2feee6f	4	7009	AUSTIN STREET	11375	36
365974ef72d88d2cb15790b0a63ebf2c	4	0	INTAIRP ARVL BLDG	11430	33
cdac6ae310fea2571caa27cd96b1deae	2	4412	FORT HAMILTON PKWY	11219	63
18382f5eecefff0b13c41e1765b777e7	2	205	BEDFORD AVE	11211	47
539fd58bb69b3a1af958b58f3f2518ab	3	1484	2 AVENUE	10075	46
93c0472e355fc0d4ffa16d2b7ba5d1ee	4	8746	PARSONS BOULEVARD	11432	42
22bfede9735a0123aa32e2bd9f9b95d6	4	3619	24TH AVE	11103	3
b45cd46928ac1ced7d1c5850a6b246d4	3	1018	LEXINGTON AVENUE	10021	3
6b55659629ded4c965b2ba40de4c3bd0	2	1081	FULTON ST	11238	3
236d2fa7925e58638abc1479ca388dca	1	1138	EAST TREMONT AVENUE	10460	62
742386b66db659b33ff013afdca88ff9	2	600	METROPOLITAN AVENUE	11211	62
169abc65e0bb249dcc72f9b7c8a9465c	2	111	FRONT STREET	11201	3
e568c305a79e7f2c8b3ac50de0bf8588	5	2110	RICHMOND RD	10306	13
08875a61fbe12c7e76866ad62edc3b91	2	140	WILSON AVE	11237	3
b0937df2b1fa76c05b371e34c8b031d2	4	9638	CORONA AVENUE	11368	51
754d93e7b91c5cbf49bc61778c114168	1	2001	JEROME AVE	10453	26
1869199a763604e53b93c38452d18279	4	19002	HORACE HARDING EXPRESSWAY	11365	3
d75cde52cd0f2e0678275e71356be2ed	2	444	7TH AVE	11215	3
863c9d42551bfd203c361d939f6c84fb	4	10310	ROOSEVELT AVENUE	11368	20
ee0a5b5e9d6f9b41e9fbc11fe72ae7e0	3	246	EAST   51 STREET	10022	42
7b021520cef0d8fa6edf5028eccff214	3	1567	2ND AVE	10028	47
81db844b29408a921b5ccf6ddbab9b2e	3	3508	BROADWAY	10031	46
8f808afe586d5bcda9932361d9ca2c57	3	1049	1 AVENUE	10022	8
45964f402a89e6b04ba73cdacbe6b287	3	34	8 AVENUE	10014	46
ee7eee3a87725a64fef8d78765735fea	2	2117	CORTELYOU RD	11226	63
e952a0bec7e801929bc48c804142a823	1	1322A	JEROME AVE	10452	77
7782b226b46166d1eb3dde4aa7eaee17	2	717	86TH ST	11228	46
27df5fb22b157b29b0d48262bb1c424a	2	799	STANLEY AVENUE	11207	77
8c0023258dcdd3c0af82486b719877f3	3	150	E 58TH ST	10155	13
9855c80d9c6ff257e265f82ea87ca68e	2	111	ORIENTAL BOULEVARD	11235	67
4d47be1dc77d034cea4755b462ccf74c	4	2007	FRANCIS LEWIS BOULEVARD	11357	8
395169eef496f54ccb12520d5b809f39	4	16119	JAMAICA AVENUE	11432	3
aa50969d0247888952f06abe5c539735	3	234	WEST   42 STREET	10036	3
96d34e612c5a020c3e69828571b252f7	2	448	GATEWAY DR	11239	3
f54938b09a63f99bbd849138e3fd9f30	3	226	WEST HOUSTON STREET	10014	5
bdbff199e1150cef6cb400e6b7ce0f99	4	3307	36TH AVE	11106	51
9a2fce7c4e6d4230b06a439889f5f6fc	3	117	PERRY STREET	10014	46
bb2feac8a69349c2c110206af6797fed	3	717	5TH AVE	10022	46
e207218c89a51d0277ca0c3ea58289d0	2	884	PACIFIC ST	11238	3
6630f0bf384fb005df899afe9ce275a6	3	328	EAST 14 STREET	10003	62
ee6eeedad7ab431ac6fa66abc86a03a8	1	670	EAST  187 STREET	10458	46
a3be40ec203d6ea7762813c9314ae678	3	420	PARK AVENUE SOUTH	10016	46
349f83812497a75c02b9e800dac4eb67	4	8746	BRITTON AVENUE	11373	19
1c6d36fb5adafa79202dacef416cca4f	4	2904	172 STREET	11358	19
f95c8f2bb04aaabd96a2a1f431a885de	4	21133	26 AVENUE	11360	5
9d7ff80ef91df858b7be035cf35f8c3c	4	3438	38 STREET	11101	3
6e100828630300761547647fe228567c	4	3608	30 AVENUE	11103	63
3c4a040d63bf27799a2205f28dc9138d	2	3398	FULTON ST	11208	51
fc47daac9b30b6f22d8b1446ff4f1d91	4	16719	HILLSIDE AVE	11432	62
5cc9fab4d664d47345603abfd257fb8d	1	610	EXTERIOR STREET	10451	3
3f77f1a9cfad1bd4ecd65f9b47550ee7	4	6924	METROPOLITAN AVENUE	11379	69
bdcd4e7b41e4b2c4981d79977b270904	4	7702	ROOSEVELT AVE	11372	51
e5732e5fa49e6aff76201f34fd2e917e	3	949	BROADWAY	10010	13
557f917dde2446aaa767d32292af413d	2	691	KNICKERBOCKER AVENUE	11221	77
